# OH sky emission lines for Magellan/LDSS3.
# VACUUM wavelengths, converted from the air wavelengths of the UVES
# sky emission atlas identification tables (gident_*.dat).
# Restricted to 6000-10500 A; unresolved groups within
# 3.0 A blended to their flux-weighted centroid; brightest
# 300 retained.  amplitude is the summed atlas FLUX.
|         wave | ion | NIST | Instr |    amplitude |         Source |
| 10174.381929 |  OH |    1 |     0 |    75.578260 | UVES_sky_atlas |
| 10184.406897 |  OH |    1 |     0 |    14.255480 | UVES_sky_atlas |
| 10192.530869 |  OH |    1 |     0 |    45.121680 | UVES_sky_atlas |
| 10197.621624 |  OH |    1 |     0 |     0.708490 | UVES_sky_atlas |
| 10202.095886 |  OH |    1 |     0 |     1.389010 | UVES_sky_atlas |
| 10205.863116 |  OH |    1 |     0 |    21.298150 | UVES_sky_atlas |
| 10213.278999 |  OH |    1 |     0 |    78.332650 | UVES_sky_atlas |
| 10223.370791 |  OH |    1 |     0 |     0.878630 | UVES_sky_atlas |
| 10228.611134 |  OH |    1 |     0 |    42.966150 | UVES_sky_atlas |
| 10233.476069 |  OH |    1 |     0 |    23.200450 | UVES_sky_atlas |
| 10273.930394 |  OH |    1 |     0 |     7.334350 | UVES_sky_atlas |
| 10289.276678 |  OH |    1 |     0 |   172.627040 | UVES_sky_atlas |
| 10295.325971 |  OH |    1 |     0 |     5.852720 | UVES_sky_atlas |
| 10298.861853 |  OH |    1 |     0 |    58.431890 | UVES_sky_atlas |
| 10312.366758 |  OH |    1 |     0 |    19.122120 | UVES_sky_atlas |
| 10330.156746 |  OH |    1 |     0 |     5.173080 | UVES_sky_atlas |
| 10342.929420 |  OH |    1 |     0 |     6.592620 | UVES_sky_atlas |
| 10350.120969 |  OH |    1 |     0 |    36.310350 | UVES_sky_atlas |
| 10356.822923 |  OH |    1 |     0 |     9.447120 | UVES_sky_atlas |
| 10375.726543 |  OH |    1 |     0 |    67.021260 | UVES_sky_atlas |
| 10399.418512 |  OH |    1 |     0 |     3.334400 | UVES_sky_atlas |
